data_completa,data,semana,qtd_marmitas,cardapio,qtd_frango,qtd_carne,qtd_calabresa,qtd_linguica,qtd_arroz,qtd_feijao,qtd_macarao,ano,mes
2021-08-01 22:47:17.710,2021-07-27,Terça,27,"salada de macarrao com cenoura, ervilha, milho, palmito, atum, sardinha e azeitonas.",,,,,,,5.0,2021,7
2021-08-01 22:48:00.557,2021-07-28,Quarta,60,"arroz, strogonoff de frango , champignon e batata palha.",5.0,,,,2.5,,,2021,7
2021-08-01 22:48:39.847,2021-07-29,Quinta,69,"sopa de mandioquinha com frango, cenoura e macarrao.",5.0,,,,,,2.0,2021,7
2021-08-01 22:49:36.853,2021-07-30,Sexta,60,"arroz, feijao, picadinho de frango com azeitonas e salada de repolho com cenoura.",5.0,,,,2.5,2.0,,2021,7
2021-08-01 22:50:15.575,2021-07-31,Sábado,60,"arroz, feijao preto, calabresa e mix de legumes e azeitonas.",,,5.0,,2.5,2.0,,2021,7
2021-09-04 10:08:05.669,2021-08-03,Terça,56,"arroz, feijao, maionese e linguiça.",,,,5.0,2.5,2.0,,2021,8
2021-09-04 10:09:00.327,2021-08-04,Quarta,62,"arroz, strogonoff de frango e batata palha.",5.0,,,,2.5,,,2021,8
2021-09-04 10:09:40.034,2021-08-05,Quinta,63,macarrao com molho de carne.,,5.0,,,,,5.0,2021,8
2021-09-04 10:10:51.364,2021-08-06,Sexta,56,"arroz, feijao, calabresa e salada de legumes.",,,5.0,,2.5,2.0,,2021,8
2021-09-04 10:12:01.590,2021-08-07,Sábado,65,"arroz, feijao, picadinho de carne com azeitona e salada de repolho com cenoura.",,5.0,,,2.5,2.0,,2021,8
2021-09-04 10:13:02.842,2021-08-09,Segunda,65,"arroz, feijao, salada de batata e molho e frango com azeitonas.",5.0,,,,2.5,2.0,,2021,8
2021-09-04 10:13:49.502,2021-08-10,Terça,55,"arroz, feijao, maionese e linguiça.",,,,5.0,2.5,2.0,,2021,8
2021-09-04 10:14:31.950,2021-08-11,Quarta,60,"arroz, feijao, frango frito de mandioca frita.",5.0,,,,2.5,2.0,,2021,8
2021-09-04 10:15:07.144,2021-08-12,Quinta,61,"arroz, strogonoff de frango e batata palha.",5.0,,,,2.5,,,2021,8
2021-09-04 10:15:52.503,2021-08-13,Sexta,55,"arroz, feijao, pure de mandioquinha com cenoura e calabresa.",,,5.0,,2.5,2.0,,2021,8
2021-09-04 10:17:49.961,2021-08-14,Sábado,75,"salada de macarrao( sardinha, ervilha, cenoura, batata e azetonas).",,,,,,,5.0,2021,8
2021-09-04 10:18:29.654,2021-08-16,Segunda,60,"arroz, feijao preto, mix de legumes e linguiça.",,,,5.0,2.5,2.0,,2021,8
2021-09-04 10:19:04.581,2021-08-17,Terça,60,macarrao com molho de frango e azeitonas.,5.0,,,,,,5.0,2021,8
2021-09-04 10:19:43.917,2021-08-18,Quarta,60,"arroz, feijao, carne louca de cupim e mandioca frita.",,5.0,,,2.5,2.0,,2021,8
2021-09-04 10:21:17.131,2021-08-19,Quinta,65,"salada de macarrao (sardinha, ervilha, cenoura, azeitonas, brocolis e couve flor).",,,,,,,5.0,2021,8
2021-09-04 10:22:18.367,2021-08-20,Sexta,60,"arroz, strogonoff de frango e batata palha.",5.0,,,,2.5,,,2021,8
2021-09-04 10:23:21.574,2021-08-21,Sábado,60,"arroz, vinagrete de feijao fradinho, salada de grao de bico , cenoura, ervilha, e carne louca de cupim.",,5.0,,,2.5,2.0,,2021,8
2021-09-04 10:24:01.006,2021-08-23,Segunda,60,"arroz, feijao, calabresa e salada de mandioca.",,,5.0,,2.5,2.0,,2021,8
